# Excerpt from: http://www.unicode.org/Public/9.0.0/ucd/DerivedNormalizationProps.txt
# ================================================

# Property:	NFC_Quick_Check

#  All code points not explicitly listed for NFC_Quick_Check
#  have the value Yes (Y).

# @missing: 0000..10FFFF; NFC_QC; Yes

# ================================================

# NFC_Quick_Check=No

0340..0341    ; NFC_QC; N # Mn   [2] COMBINING GRAVE TONE MARK..COMBINING ACUTE TONE MARK
0343..0344    ; NFC_QC; N # Mn   [2] COMBINING GREEK KORONIS..COMBINING GREEK DIALYTIKA TONOS
0374          ; NFC_QC; N # Lm       GREEK NUMERAL SIGN
037E          ; NFC_QC; N # Po       GREEK QUESTION MARK
0387          ; NFC_QC; N # Po       GREEK ANO TELEIA
0958..095F    ; NFC_QC; N # Lo   [8] DEVANAGARI LETTER QA..DEVANAGARI LETTER YYA
09DC..09DD    ; NFC_QC; N # Lo   [2] BENGALI LETTER RRA..BENGALI LETTER RHA
09DF          ; NFC_QC; N # Lo       BENGALI LETTER YYA
0A33          ; NFC_QC; N # Lo       GURMUKHI LETTER LLA
0A36          ; NFC_QC; N # Lo       GURMUKHI LETTER SHA
0A59..0A5B    ; NFC_QC; N # Lo   [3] GURMUKHI LETTER KHHA..GURMUKHI LETTER ZA
0A5E          ; NFC_QC; N # Lo       GURMUKHI LETTER FA
0B5C..0B5D    ; NFC_QC; N # Lo   [2] ORIYA LETTER RRA..ORIYA LETTER RHA
0F43          ; NFC_QC; N # Lo       TIBETAN LETTER GHA
0F4D          ; NFC_QC; N # Lo       TIBETAN LETTER DDHA
0F52          ; NFC_QC; N # Lo       TIBETAN LETTER DHA
0F57          ; NFC_QC; N # Lo       TIBETAN LETTER BHA
0F5C          ; NFC_QC; N # Lo       TIBETAN LETTER DZHA
0F69          ; NFC_QC; N # Lo       TIBETAN LETTER KSSA
0F73          ; NFC_QC; N # Mn       TIBETAN VOWEL SIGN II
0F75..0F76    ; NFC_QC; N # Mn   [2] TIBETAN VOWEL SIGN UU..TIBETAN VOWEL SIGN VOCALIC R
0F78          ; NFC_QC; N # Mn       TIBETAN VOWEL SIGN VOCALIC L
0F81          ; NFC_QC; N # Mn       TIBETAN VOWEL SIGN REVERSED II
0F93          ; NFC_QC; N # Mn       TIBETAN SUBJOINED LETTER GHA
0F9D          ; NFC_QC; N # Mn       TIBETAN SUBJOINED LETTER DDHA
0FA2          ; NFC_QC; N # Mn       TIBETAN SUBJOINED LETTER DHA
0FA7          ; NFC_QC; N # Mn       TIBETAN SUBJOINED LETTER BHA
0FAC          ; NFC_QC; N # Mn       TIBETAN SUBJOINED LETTER DZHA
0FB9          ; NFC_QC; N # Mn       TIBETAN SUBJOINED LETTER KSSA
1F71          ; NFC_QC; N # L&       GREEK SMALL LETTER ALPHA WITH OXIA
1F73          ; NFC_QC; N # L&       GREEK SMALL LETTER EPSILON WITH OXIA
1F75          ; NFC_QC; N # L&       GREEK SMALL LETTER ETA WITH OXIA
1F77          ; NFC_QC; N # L&       GREEK SMALL LETTER IOTA WITH OXIA
1F79          ; NFC_QC; N # L&       GREEK SMALL LETTER OMICRON WITH OXIA
1F7B          ; NFC_QC; N # L&       GREEK SMALL LETTER UPSILON WITH OXIA
1F7D          ; NFC_QC; N # L&       GREEK SMALL LETTER OMEGA WITH OXIA
1FBB          ; NFC_QC; N # L&       GREEK CAPITAL LETTER ALPHA WITH OXIA
1FBE          ; NFC_QC; N # L&       GREEK PROSGEGRAMMENI
1FC9          ; NFC_QC; N # L&       GREEK CAPITAL LETTER EPSILON WITH OXIA
1FCB          ; NFC_QC; N # L&       GREEK CAPITAL LETTER ETA WITH OXIA
1FD3          ; NFC_QC; N # L&       GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
1FDB          ; NFC_QC; N # L&       GREEK CAPITAL LETTER IOTA WITH OXIA
1FE3          ; NFC_QC; N # L&       GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND OXIA
1FEB          ; NFC_QC; N # L&       GREEK CAPITAL LETTER UPSILON WITH OXIA
1FEE..1FEF    ; NFC_QC; N # Sk   [2] GREEK DIALYTIKA AND OXIA..GREEK VARIA
1FF9          ; NFC_QC; N # L&       GREEK CAPITAL LETTER OMICRON WITH OXIA
1FFB          ; NFC_QC; N # L&       GREEK CAPITAL LETTER OMEGA WITH OXIA
1FFD          ; NFC_QC; N # Sk       GREEK OXIA
2000..2001    ; NFC_QC; N # Zs   [2] EN QUAD..EM QUAD
2126          ; NFC_QC; N # L&       OHM SIGN
212A..212B    ; NFC_QC; N # L&   [2] KELVIN SIGN..ANGSTROM SIGN
2329          ; NFC_QC; N # Ps       LEFT-POINTING ANGLE BRACKET
232A          ; NFC_QC; N # Pe       RIGHT-POINTING ANGLE BRACKET
2ADC          ; NFC_QC; N # Sm       FORKING
F900..FA0D    ; NFC_QC; N # Lo [270] CJK COMPATIBILITY IDEOGRAPH-F900..CJK COMPATIBILITY IDEOGRAPH-FA0D
FA10          ; NFC_QC; N # Lo       CJK COMPATIBILITY IDEOGRAPH-FA10
FA12          ; NFC_QC; N # Lo       CJK COMPATIBILITY IDEOGRAPH-FA12
FA15..FA1E    ; NFC_QC; N # Lo  [10] CJK COMPATIBILITY IDEOGRAPH-FA15..CJK COMPATIBILITY IDEOGRAPH-FA1E
FA20          ; NFC_QC; N # Lo       CJK COMPATIBILITY IDEOGRAPH-FA20
FA22          ; NFC_QC; N # Lo       CJK COMPATIBILITY IDEOGRAPH-FA22
FA25..FA26    ; NFC_QC; N # Lo   [2] CJK COMPATIBILITY IDEOGRAPH-FA25..CJK COMPATIBILITY IDEOGRAPH-FA26
FA2A..FA6D    ; NFC_QC; N # Lo  [68] CJK COMPATIBILITY IDEOGRAPH-FA2A..CJK COMPATIBILITY IDEOGRAPH-FA6D
FA70..FAD9    ; NFC_QC; N # Lo [106] CJK COMPATIBILITY IDEOGRAPH-FA70..CJK COMPATIBILITY IDEOGRAPH-FAD9
FB1D          ; NFC_QC; N # Lo       HEBREW LETTER YOD WITH HIRIQ
FB1F          ; NFC_QC; N # Lo       HEBREW LIGATURE YIDDISH YOD YOD PATAH
FB2A..FB36    ; NFC_QC; N # Lo  [13] HEBREW LETTER SHIN WITH SHIN DOT..HEBREW LETTER ZAYIN WITH DAGESH
FB38..FB3C    ; NFC_QC; N # Lo   [5] HEBREW LETTER TET WITH DAGESH..HEBREW LETTER LAMED WITH DAGESH
FB3E          ; NFC_QC; N # Lo       HEBREW LETTER MEM WITH DAGESH
FB40..FB41    ; NFC_QC; N # Lo   [2] HEBREW LETTER NUN WITH DAGESH..HEBREW LETTER SAMEKH WITH DAGESH
FB43..FB44    ; NFC_QC; N # Lo   [2] HEBREW LETTER FINAL PE WITH DAGESH..HEBREW LETTER PE WITH DAGESH
FB46..FB4E    ; NFC_QC; N # Lo   [9] HEBREW LETTER TSADI WITH DAGESH..HEBREW LETTER PE WITH RAFE
